लोग: लोग 
स्टैंडर्ड: स्टैंडर्ड
RGB: RGB
मोनोक्रोम: मोनोक्रोम
EMUI: EMUI
नॉर्मल: नॉर्मल
टाइप: टाइप
गुप्त: गुप्त
'बिल्डिंग: 'बिल्डिंग
रेजिना: रेजिना 
दुगन: दुगन
नियुक्ति: नियुक्त 
"आज: "आज
नये: नया 
केंद्रित: केंद्रित
दूंगी: दूंगी 
रहूंगी: रहूंगी 
कामकाज: कामकाज
कठिन: कठिन
बढ़िया: बढ़िया 
याद: याद
करुंगी: करुंगी 
'बोज': 'बोज'
बोजबर्थ: बोजबर्थ
पदोन्नति: पदोन्नत 
देकर: दे 
परियोजनाओं: परियोजन परियोज 
जिम्मेदारी: जिम्मेदारी 
उत्पाद: उत्पाद
विकसित: विकसित
सौंपी: सौंपी 
वीआर: वीआर
आकुलस: आकुलस
किसे: किसा 
IFA: IFA
ग्राफिक्स: ग्राफिक्स
Andreno: Andreno
TB: TB
लाइट: लाइट
फ्रेंच: फ्रेंच
Tempow: Tempow
मल्टी: मल्टी 
स्ट्रीमिंग: स्ट्रीमिंग
वॉल्यूम: वॉल्यूम
मान: मान
लीजिए: लीज 
सदस्यों: सदस्यों 
डेस्टिनेशन: डेस्टिनेशन
इंक्रिप्टेड: इंक्रिप्टेड
जाकिर: जाकिर
खान: खान 
मैप: मैप
अपडेट्स: अपडेट्स
'चाहे: 'चाहा 
अपनों: अपन 
बताना: बताना 
सफर: सफर
खोलें: खोल 
कॉन्टैक्ट: कॉन्टैक्ट
सेंड: सेंड
'Share: 'Share
Live: Live
Location': Location'
मूवमेंट: मूवमेंट
हफ्तों: हफ्त 
लाया: लाया 
लाइक्स: लाइक्स
सेलीब्रेटी: सेलीब्रेटी 
नेता: नेता 
पार्टी: पार्टी 
सहारा: सहारा 
उभरते: उभरता 
कलाकार: कलाकार
चाह: चाह
रखने: रखना 
शख्स: शख्स
ब्रोकर: ब्रो 
सेलिब्रिटी: सेलिब्रिटी 
नेताओं: नेताओं 
बढ़ाये: बढ़ाया 
इनसे: इनसा 
प्रामाणिक: प्रामाणिक
सूची: सूची 
मारुति: मारुत 
सुजुकी: सुजुकी 
कॉन: कॉन
वोल्फ: वोल्फ
डोना: डोना 
इंपेराटो: इंपेराट 
वास्तविक: वास्तविक
जुड़ते: जुड़ता 
ब्रांडों: ब्रांड 
दिखाता: दिखाता 
व्यावहारिक: व्यावहारिक
आकर्षित: आकर्षित
व्यवसाय: व्यवसाय
प्रामाणिकता: प्रामाणिकता 
तीसरे: तीसरा 
चौथे: चौथा 
पांचवें: पांचव 
निष्कर्षों: निष्कर्ष 
रुचि: रुच 
जाहिर: जाहिर
मानते: मानता 
कॉटन: कॉटन
प्रशांत: प्रशांत
मैट: मैट
स्टैफोर्ड: स्टैफोर्ड
बनाएंगे: बनाएंगा 
ऑफरिंग: ऑफरिंग
कारकों: कारक 
विश्वसनीयता: विश्वसनीयता 
पालतू: पालत 
कुत्तों/बिल्लियों: कुत्तों/बिल्ली 
इंसानो: इंसान 
कुत्तों: कुत्त 
बिल्लियों: बिल्ली 
समूहीकृत: समूहीकृत
फोटोज़: फोटोज़
पेट्स: पेट्स
ढूढ: ढूढ
ढूढ़ने: ढूढ़ना 
डॉग: डॉग
कैट: कैट
मिलती: मिलती 
जरुरत: जरुरत
लेबल: लेबल
ढूंढा: ढूंढा 
जानवर: जानवर
जानवरों: जानवर 
एलबम: एलबम
मूवीज़: मूवीज़
बुक: बुक
p: p
असीमित: असीमित
प्रदूषण: प्रदूषण
एनसीआर: एनसीआर
पटाखों: पटाख 
रोक: रोक
शर्तों: शर्त 
बितने: बितना 
festivezone: festivezone
बेंगलुरु: बेंगलुर 
चैन्नई: चैन्नई
पटाखें: पटाख 
पेज: पेज
बैनर: बैनर
घटनाओं: घटनाओं 
अंदाज़: अंदाज़
मेंशन: मेंशन
दरअसल: दरअसल
म्युज़िक: म्युज़िक
स्टूडियो: स्टूडिय 
वर्षगांठ: वर्षगांठ
संगीत: संगीत 
नींव: नींव
संगीतकार: संगीतकार
वर्नर: वर्नर
मेयर: मेयर
रॉबर्ट: रॉबर्ट
बेयर: बेयर
हर्बर्ट: हर्बर्ट
आईमर: आईमर
ज़रुरत: ज़रुरत
उन्होनें: उन्होन 
विद्युत: विद्युत
वाद्य: वाद्य
यंत्रों: यंत्र 
रिकॉर्ड: रिकॉर्ड 
टेक्नो: टेक्न 
इलेक्ट्रिक: इलेक्ट्रिक
ट्रांस: ट्रांस
संगीतकारों: संगीतकार 
एडिटिंग: एडिटिंग
धुनों: धुन 
नवीनीकरण: नवीनीकरण 
ग्राउंड: ग्राउंड 
शाखा: शाखा 
पारंपरिक: पारंपरिक
उपलक्ष्य: उपलक्ष्य
ट्रिब्यूट: ट्रिब्यूट
दिखाते: दिखाता 
खरीदते: खरीदता 
एल्गोरिदम: एल्गोरिदम
ड्यूल: ड्यूल
ऑप्टिकल: ऑप्टिकल
जूम: जूम
इमेज: इमेज
स्टेबलाइजेशन: स्टेबलाइजेशन
OIS: OIS
मर्जी: मर्जी 
एडिट: एडिट
मामूली: मामूली 
नायाब: नायाब
देती: देती 
Snapseed: Snapseed
